date,gdp_pc
Subject Descriptor,"Gross domestic product per capita, constant prices"
Units,National currency
Scale,Units
Country/Series-specific Notes,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
1980,37042.1600
1981,37962.0200
1982,37365.4100
1983,36721.0600
1984,38568.6500
1985,40101.9100
1986,40477.2700
1987,41795.2200
1988,42809.1600
1989,44126.0100
1990,44173.9800
1991,43190.1600
1992,43889.9100
1993,45207.1200
1994,46966.3400
1995,47732.3600
1996,49221.7200
1997,50844.2400
1998,52652.0400
1999,54292.8600
2000,55384.2500
2001,56023.0200
2002,57641.9600
2003,58686.5300
2004,60408.1000
2005,61509.7000
2006,62205.7500
2007,63780.9900
2008,64053.5000
2009,64002.8900
2010,64574.9900
2011,65248.5400
2012,66388.3300
2013,66697.2000
2014,67539.9200
2015,68190.4200
