date,gdp,gdp_d,gdp_pc
Subject Descriptor,"Gross domestic product, constant prices","Gross domestic product, constant prices","Gross domestic product per capita, constant prices"
Units,National currency,Percent change,National currency
Scale,Billions,,Units
Country/Series-specific Notes,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2016. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014/15. The base period is 2014Q3-2015Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 08/2017","See notes for:  Gross domestic product, constant prices (National currency).","See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
1980,548.2890,2.8940,37042.1600
1981,570.9180,4.1270,37962.0200
1982,571.2760,0.0630,37365.4100
1983,568.5700,-0.4740,36721.0600
1984,604.6520,6.3460,38568.6500
1985,637.6440,5.4560,40101.9100
1986,653.2550,2.4480,40477.2700
1987,685.2160,4.8930,41795.2200
1988,714.3600,4.2530,42809.1600
1989,747.3500,4.6180,44126.0100
1990,758.4570,1.4860,44173.9800
1991,750.6010,-1.0360,43190.1600
1992,770.5810,2.6620,43889.9100
1993,801.0290,3.9510,45207.1200
1994,840.3890,4.9140,46966.3400
1995,864.8920,2.9160,47732.3600
1996,902.2380,4.3180,49221.7200
1997,941.1270,4.3100,50844.2400
1998,984.8890,4.6500,52652.0400
1999,1027.1800,4.2940,54292.8600
2000,1060.1100,3.2060,55384.2500
2001,1086.0900,2.4500,56023.0200
2002,1130.1000,4.0520,57641.9600
2003,1163.5900,2.9640,58686.5300
2004,1210.9400,4.0700,60408.1000
2005,1249.3600,3.1720,61509.7000
2006,1283.1500,2.7050,62205.7500
2007,1340.4300,4.4640,63780.9900
2008,1375.5900,2.6230,64053.5000
2009,1399.4600,1.7360,64002.8900
2010,1431.7900,2.3100,64574.9900
2011,1469.8800,2.6610,65248.5400
2012,1523.0900,3.6200,66388.3300
2013,1555.4900,2.1270,66697.2000
2014,1598.8500,2.7870,67539.9200
2015,1637.4500,2.4140,68190.4200
2016,1678.7700,2.5240,68842.4200
2017,1715.8900,2.2110,69288.8800
2018,1766.0300,2.9220,70223.5700
2019,1818.1400,2.9500,71190.1300
2020,1869.1300,2.8050,72067.8600
2021,1920.5400,2.7510,72918.3000
2022,1971.6100,2.6590,73712.6800
