H1 GROSS DOMESTIC PRODUCT AND INCOME,,,,,,,,,,,,
Title,Real GDP,Year-ended real GDP growth,Real non-farm GDP,Year-ended real non-farm GDP growth,Real farm GDP,Year-ended real GDP per capita growth,Real GDI,Year-ended real GDI growth,Nominal GDP,Year-ended nominal GDP growth,Terms of trade,
Description,Gross domestic product (GDP); Chain volume,Gross domestic product (GDP); Chain volume; Year-ended change (in per cent),Gross domestic product (GDP); Non-farm; Chain volume,Gross domestic product (GDP); Non-farm; Chain volume; Year-ended change (in per cent),Gross domestic product (GDP); Farm; Chain volume,Gross domestic product (GDP) per capita; Chain volume; Year-ended change (in per cent),Gross domestic income (GDI); Chain volume,Gross domestic income (GDI); Chain volume; Year-ended change (in per cent),Gross domestic product (GDP); Current price,Gross domestic product (GDP); Current price; Year-ended change (in per cent),Goods & services terms of trade,
Frequency,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,
Type,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,
Units,$ million,Per cent ,$ million,Per cent ,$ million,Per cent ,$ million,Per cent ,$ million,Per cent ,"Index, 2014/15=100",
,,,,,,,,,,,,
,,,,,,,,,,,,
Source,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,
Publication date,08-Jun-2017,08-Jun-2017,08-Jun-2017,08-Jun-2017,08-Jun-2017,08-Jun-2017,08-Jun-2017,08-Jun-2017,08-Jun-2017,08-Jun-2017,08-Jun-2017,
Series ID,GGDPCVGDP,GGDPCVGDPY,GGDPCVGDPNF,GGDPCVGDPNFY,GGDPCVGDPF,GGDPCVGDPFY,GGDPCVRGDI,GGDPCVRGDIY,GGDPECCPGDP,GGDPECCPGDPY,GOPITT,
Sep-1959,60438,,52782,,,,56152,,3969,,73.3,
Dec-1959,60942,,53218,,,,56684,,4084,,72.0,
Mar-1960,61210,,53444,,,,57491,,4165,,76.4,
Jun-1960,62867,,55140,,,,59099,,4377,,77.2,
Sep-1960,63044,4.3,56521,7.1,,,58713,4.6,4396,10.8,71.6,
Dec-1960,62931,3.3,55835,4.9,,,58900,3.9,4424,8.3,75.3,
Mar-1961,63129,3.1,55948,4.7,,,58689,2.1,4418,6.1,71.9,
Jun-1961,62429,-0.7,55376,0.4,,,57469,-2.8,4321,-1.3,67.9,
Sep-1961,62008,-1.6,55121,-2.5,,,57610,-1.9,4327,-1.6,71.8,
Dec-1961,62719,-0.3,55677,-0.3,,,58186,-1.2,4363,-1.4,70.6,
Mar-1962,64463,2.1,57485,2.7,,,60136,2.5,4496,1.8,73.1,
Jun-1962,65679,5.2,58408,5.5,,,61261,6.6,4594,6.3,72.9,
Sep-1962,66248,6.8,58866,6.8,,,61630,7.0,4647,7.4,71.6,
Dec-1962,67433,7.5,60073,7.9,,,62681,7.7,4779,9.5,71.4,
Mar-1963,68970,7.0,61793,7.5,,,64508,7.3,4923,9.5,75.0,
Jun-1963,68054,3.6,60722,4.0,,,63823,4.2,4890,6.4,76.5,
Sep-1963,70854,7.0,63385,7.7,,,66801,8.4,5148,10.8,79.3,
Dec-1963,72358,7.3,65035,8.3,,,68506,9.3,5258,10.0,80.9,
Mar-1964,72279,4.8,64770,4.8,,,68747,6.6,5313,7.9,83.7,
Jun-1964,74097,8.9,66486,9.5,,,70123,9.9,5491,12.3,81.1,
