Per Capita GDP at current prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,157,160,136,144,175,188,199,226,250,278,276,268,271,277,282,286,290,255,234,288,300,261,253,180,133,193,179,167,157,143,179,176,199,219,238,271,298,401,406,462,575,665,718,704,668,623
Albania,"1,053","1,058","1,064","1,070","1,076","1,082","1,090","1,096","1,105",903,799,810,818,811,784,783,788,762,770,904,654,488,468,533,599,770,"1,035",719,823,"1,034","1,117","1,257","1,395","1,784","2,312","2,612","2,916","3,546","4,340","4,111","4,110","4,467","4,277","4,433","4,595","3,984"
Algeria,354,359,467,584,816,931,"1,033","1,187","1,448","1,770","2,185","2,219","2,192","2,294","2,413","2,564","2,707","2,690","2,385","2,191","2,383","1,754","1,807","1,830","1,493","1,452","1,592","1,608","1,585","1,577","1,753","1,743","1,776","2,095","2,600","3,102","3,468","3,940","4,912","3,876","4,473","5,447","5,584","5,494","5,496","4,154"
Andorra,"4,097","4,426","5,336","6,761","7,998","9,070","9,049","9,808","11,549","14,956","15,662","13,124","12,161","10,152","9,780","9,838","13,112","15,962","18,101","19,191","23,885","24,713","25,992","20,889","20,532","23,358","24,090","23,289","24,003","24,451","21,933","22,088","24,395","32,074","37,476","40,084","42,497","47,324","46,808","42,824","39,748","41,813","39,899","43,237","46,034","39,896"
Angola,604,623,623,743,813,584,545,579,628,677,871,788,760,764,783,935,853,957,"1,008","1,143","1,228","1,411","1,569","1,100","1,096",509,650,741,607,563,811,768,949,"1,067","1,362","2,064","2,825","3,402","4,462","3,430","3,949","5,095","5,645","5,830","6,014","4,714"
Anguilla,610,711,833,935,"1,023","1,112","1,060","1,179","1,356","1,564","1,810","2,103","2,451","2,850","3,301","4,040","5,094","6,076","7,226","8,552","9,071","8,966","9,405","9,940","10,773","10,578","10,886","11,904","13,147","13,643","13,545","13,624","13,465","14,121","16,300","18,130","22,031","27,028","26,511","20,817","19,460","20,953","19,820","19,720","21,531","21,880"
Antigua and Barbuda,518,620,839,"1,153","1,217","1,233","1,017","1,151","1,298","1,597","1,912","2,181","2,444","2,756","3,170","3,723","4,496","5,311","6,374","7,081","7,422","7,718","7,871","8,250","8,857","8,446","9,022","9,423","9,809","10,076","10,630","10,079","10,118","10,509","11,181","12,293","13,766","15,432","15,931","14,110","13,159","12,953","13,653","13,290","14,019","14,764"
Argentina,"1,418","1,668","1,530","1,645","1,858","1,985","2,061","2,294","2,341","2,672","2,912","2,965","3,002","3,198","3,325","3,144","3,718","3,764","4,325","2,574","4,680","6,194","7,367","7,522","8,081","7,993","8,330","8,861","8,944","8,388","8,315","7,775","2,919","3,666","4,285","5,145","5,951","7,282","9,094","8,282","10,402","12,800","13,887","14,474","13,279","14,565"
Armenia,,,,,,,,,,,,,,,,,,,,,650,599,363,347,383,426,537,557,648,636,663,738,832,986,"1,260","1,733","2,268","3,286","4,180","3,109","3,332","3,644","3,566","3,717","3,862","3,489"
Aruba,"2,990","3,130","3,274","3,427","3,592","3,776","3,981","4,209","4,452","4,700","4,941","5,163","5,370","5,578","5,817","6,107","6,473","7,886","9,765","11,392","12,308","13,496","14,047","14,938","17,342","16,441","16,586","17,927","19,082","19,356","20,620","20,672","20,434","20,835","22,567","23,303","24,046","25,836","27,089","24,640","23,529","25,013","24,754","25,083","25,616","26,005"
