GDP/breakdown at current prices in National currency (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Currency,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,Afghani,Final consumption expenditure,"76,097,243","82,197,023","69,497,573","73,697,424","89,296,879","97,796,585","101,196,466","120,595,787","132,395,369","144,412,055","144,209,310","153,880,877","155,697,168","154,012,667","152,133,930","150,429,745","150,380,579","130,749,240","120,650,642","151,348,712","163,997,468","157,693,763","170,746,788","136,072,393","941,554,544","2,927,660,557","8,777,059,875","10,513,169,803","10,482,670,762","156,991,946,782","213,455,824,044","220,710,915,895","240,678,000,000","326,545,000,000","348,841,000,000","412,212,000,000","450,990,000,000","619,938,000,000","667,125,000,000","695,148,000,000","831,843,000,000","929,064,000,000","1,044,406,000,000","1,103,641,000,000","1,123,112,000,000","1,194,935,643,117"
Afghanistan,Afghani,Household consumption expenditure (including Non-profit institutions serving households),"70,967,106","76,655,665","64,812,356","68,729,071","83,276,881","91,203,574","94,374,250","112,465,756","123,469,861","134,676,438","134,487,360","143,506,908","145,200,766","143,629,814","141,877,719","140,288,489","140,242,548","121,934,653","112,517,112","141,145,143","152,941,351","147,063,992","159,233,542","126,899,382","878,111,131","2,730,066,860","8,185,796,643","9,805,759,058","9,771,700,755","146,476,246,904","199,141,821,588","205,387,112,348","225,164,000,000","304,573,000,000","322,140,000,000","379,330,000,000","410,644,000,000","566,338,000,000","612,492,000,000","623,348,000,000","727,204,000,000","819,180,000,000","913,230,000,000","964,147,000,000","973,047,000,000","1,042,669,643,117"
Afghanistan,Afghani,General government final consumption expenditure,"5,130,138","5,541,358","4,685,217","4,968,352","6,019,998","6,593,011","6,822,215","8,130,031","8,925,508","9,735,617","9,721,950","10,373,969","10,496,401","10,382,853","10,256,212","10,141,256","10,138,031","8,814,587","8,133,530","10,203,569","11,056,118","10,629,771","11,513,245","9,173,011","63,443,413","197,593,697","591,263,232","707,410,745","710,970,006","10,515,699,878","14,314,002,456","15,323,803,546","15,514,000,000","21,972,000,000","26,701,000,000","32,882,000,000","40,346,000,000","53,600,000,000","54,633,000,000","71,800,000,000","104,639,000,000","109,884,000,000","131,176,000,000","139,494,000,000","150,065,000,000","152,266,000,000"
Afghanistan,Afghani,Gross capital formation,"4,299,850","4,499,842","4,699,836","5,699,801","8,499,703","10,399,636","15,699,451","16,499,423","20,599,280","21,529,258","21,213,540","23,171,833","23,186,447","22,927,297","22,737,329","22,426,182","22,426,900","19,510,880","17,994,589","22,576,394","24,465,031","22,370,443","23,070,524","17,537,057","115,904,579","344,656,107","989,294,994","1,135,760,776","1,086,509,574","15,626,058,987","20,420,450,518","23,382,620,159","22,875,000,000","28,243,000,000","47,474,000,000","71,475,000,000","91,913,000,000","97,418,000,000","97,969,000,000","110,052,000,000","130,424,000,000","141,792,000,000","178,414,000,000","200,176,000,000","214,397,000,000","239,842,698,653"
Afghanistan,Afghani,Gross fixed capital formation (including Acquisitions less disposals of valuables),"4,299,850","4,499,842","4,699,836","5,699,801","8,499,703","10,399,636","15,699,451","16,499,423","20,599,280","21,529,258","21,213,540","23,171,833","23,186,447","22,927,297","22,737,329","22,426,182","22,426,900","19,510,880","17,994,589","22,576,394","24,465,031","22,370,443","23,070,524","17,537,057","115,904,579","344,656,107","989,294,994","1,135,760,776","1,086,509,574","15,626,058,987","20,420,450,518","23,382,620,159","22,875,000,000","28,243,000,000","47,474,000,000","71,475,000,000","91,913,000,000","97,418,000,000","97,969,000,000","110,052,000,000","130,424,000,000","141,792,000,000","178,414,000,000","200,176,000,000","214,397,000,000","239,842,698,653"
Afghanistan,Afghani,Exports of goods and services,"7,699,731","8,999,685","10,599,629","10,099,647","13,599,525","13,499,528","15,199,469","15,499,458","16,099,437","19,255,816","18,434,077","19,634,171","20,175,791","19,765,200","19,549,842","19,376,470","19,331,243","16,816,985","15,522,766","19,464,843","21,094,894","23,371,854","28,387,339","24,892,332","186,805,027","622,948,912","1,985,234,542","2,509,585,653","2,625,250,491","41,044,486,626","58,015,530,030","58,011,171,793","60,068,000,000","97,871,000,000","82,525,000,000","85,319,000,000","93,257,000,000","87,408,000,000","93,417,000,000","90,464,000,000","73,164,000,000","52,298,000,000","58,664,000,000","73,277,000,000","77,993,000,000","86,704,089,223"
Afghanistan,Afghani,Imports of goods and services,"9,399,672","13,299,535","12,999,545","11,499,598","14,399,497","15,199,469","17,099,403","19,699,312","20,599,280","23,483,416","23,150,710","24,556,802","25,053,199","24,694,888","24,383,868","24,145,573","24,117,678","20,970,750","19,355,472","24,275,953","26,305,868","34,428,286","46,391,188","43,684,108","345,347,056","1,198,345,991","3,940,610,392","5,109,539,694","5,458,382,449","86,857,482,603","124,630,670,794","130,129,422,885","121,090,000,000","211,988,000,000","211,529,000,000","241,260,000,000","261,007,000,000","286,151,000,000","250,549,000,000","259,560,000,000","328,043,000,000","378,442,000,000","540,537,000,000","578,020,000,000","543,576,000,000","610,685,552,555"
Afghanistan,Afghani,Gross Domestic Product (GDP),"78,697,146","82,397,024","71,797,487","77,997,271","96,996,607","106,496,275","114,995,981","132,895,358","148,494,814","161,713,716","160,706,221","172,130,086","174,006,212","172,010,281","170,037,238","168,086,829","168,021,049","146,106,360","134,812,528","169,114,001","183,251,531","169,007,742","175,813,389","134,817,588","898,916,321","2,696,916,667","7,810,968,827","9,048,962,719","8,736,033,093","126,804,759,728","167,260,766,750","171,975,001,917","202,530,000,000","240,671,000,000","267,311,000,000","327,745,000,000","375,152,000,000","518,614,000,000","541,112,000,000","632,716,000,000","746,859,000,000","896,162,000,000","1,086,198,000,000","1,196,728,000,000","1,209,266,814,142","1,239,381,571,900"
Afghanistan,Afghani,"Agriculture, hunting, forestry, fishing (ISIC A-B)","39,539,568","41,399,045","36,072,594","39,187,835","48,736,341","53,502,069","57,778,430","66,785,119","74,570,443","81,277,561","80,809,596","86,251,663","87,678,234","86,617,050","84,307,054","86,105,348","84,445,681","69,048,221","82,598,796","114,501,847","65,496,129","83,995,345","97,480,140","85,584,172","658,819,878","1,771,500,000","4,987,235,798","5,616,104,301","5,270,259,558","74,359,191,259","95,339,869,625","91,571,104,917","87,425,000,000","98,805,000,000","88,955,000,000","112,194,000,000","122,511,000,000","174,343,000,000","150,133,000,000","196,843,000,000","207,300,000,000","241,743,000,000","275,819,000,000","295,270,000,000","294,038,000,000","274,103,361,293"
Afghanistan,Afghani,"Mining, Manufacturing, Utilities (ISIC C-E)","17,121,344","17,926,312","15,620,008","16,969,323","21,102,688","23,167,763","25,021,137","28,912,090","32,297,304","35,204,260","34,949,280","37,408,256","37,983,168","37,293,123","36,878,135","37,175,530","35,682,842","31,720,893","23,053,180","26,321,914","37,732,126","34,266,052","21,282,194","14,097,050","73,712,329","146,500,000","534,116,750","778,917,187","946,603,167","17,296,189,454","28,719,055,750","33,895,760,500","34,673,000,000","38,032,000,000","44,798,000,000","52,491,000,000","58,816,000,000","88,992,000,000","94,887,000,000","83,988,000,000","96,056,000,000","128,171,000,000","141,570,000,000","141,078,000,000","145,434,000,000","149,982,025,049"
