Per Capita GDP at constant 2005 prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,623,606,493,494,509,529,547,511,542,525,508,528,553,598,628,645,675,611,559,509,474,399,377,262,190,270,246,226,210,194,177,161,253,262,256,271,287,324,324,370,372,392,421,435,431,409
Albania,"1,474","1,497","1,521","1,547","1,572","1,600","1,629","1,655","1,690","1,721","1,740","1,804","1,822","1,806","1,748","1,740","1,792","1,732","1,667","1,799","1,606","1,159","1,087","1,210","1,331","1,524","1,671","1,490","1,616","1,817","1,939","2,098","2,194","2,320","2,458","2,612","2,795","3,002","3,273","3,427","3,589","3,700","3,760","3,798","3,866","3,959"
Algeria,"1,988","1,749","2,080","2,112","2,131","2,193","2,264","2,407","2,576","2,687","2,628","2,625","2,707","2,765","2,831","2,849","2,777","2,679","2,580","2,622","2,577","2,484","2,471","2,366","2,297","2,340","2,394","2,381","2,466","2,509","2,570","2,613","2,724","2,884","2,969","3,102","3,110","3,167","3,192","3,189","3,246","3,278","3,324","3,350","3,411","3,475"
Andorra,"36,449","36,232","37,244","38,241","38,634","37,335","37,264","37,166","36,618","35,505","35,037","33,648","32,665","31,820","30,991","30,364","30,059","30,454","30,754","30,998","30,953","30,530","29,647","28,331","28,218","28,476","29,597","32,353","33,522","34,748","34,488","34,794","35,338","37,657","38,698","40,084","40,821","40,114","36,352","35,068","33,604","32,857","33,553","35,186","37,528","39,086"
Angola,"2,511","2,605","2,551","2,691","2,705","2,503","2,310","2,266","2,086","2,030","2,013","1,860","1,795","1,804","1,848","1,854","1,860","1,939","1,997","1,954","1,891","1,853","1,689","1,242","1,219","1,360","1,500","1,565","1,594","1,582","1,581","1,578","1,746","1,735","1,858","2,064","2,224","2,451","2,634","2,560","2,593","2,594","2,724","2,766","2,786","2,779"
Anguilla,"4,870","4,708","5,209","5,387","5,342","5,497","5,556","5,542","5,936","6,497","6,831","7,134","7,124","7,184","7,488","8,310","9,069","9,594","10,534","10,870","13,040","10,260","12,748","13,270","13,921","13,227","13,214","14,283","15,397","15,592","15,400","15,355","14,364","14,759","16,409","18,130","21,358","23,761","23,030","18,505","17,428","17,896","16,566","16,274","16,920","17,236"
Antigua and Barbuda,"3,601","3,814","4,043","4,337","4,440","4,161","3,759","4,008","4,132","4,575","4,899","5,182","5,262","5,705","6,230","6,827","7,532","8,333","9,100","9,666","9,967","10,101","10,054","10,351","10,763","10,023","10,396","10,663","10,871","11,002","11,430","10,654","10,628","11,155","11,686","12,293","13,717","14,826","14,668","12,761","11,735","11,408","11,724","11,581","11,992","12,362"
Argentina,"4,385","4,477","4,493","4,582","4,748","4,644","4,571","4,790","4,568","4,817","4,814","4,483","4,274","4,380","4,398","4,029","4,252","4,294","4,148","3,801","3,697","4,028","4,382","4,594","4,799","4,604","4,800","5,130","5,267","5,033","4,938","4,668","4,113","4,428","4,775","5,145","5,505","5,940","6,120","5,693","6,218","6,532","6,396","6,475","6,244","6,328"
Armenia,,,,,,,,,,,,,,,,,,,,,"1,202","1,072",636,593,640,698,751,785,849,882,940,"1,035","1,196","1,368","1,517","1,733","1,970","2,252","2,419","2,083","2,131","2,227","2,378","2,444","2,521","2,587"
Aruba,"3,490","3,784","4,099","4,443","4,824","5,251","5,734","6,278","6,879","7,520","8,187","8,862","9,545","10,268","11,090","12,060","13,237","15,566","18,698","20,981","21,421","22,241","22,303","22,525","23,038","22,549","22,043","23,139","24,164","23,969","24,539","23,290","22,026","21,999","23,324","23,303","23,362","23,746","23,749","21,044","20,300","20,950","20,571","21,324","21,397","21,324"
